date,home_team_id,away_team_id,away_expected_points,away_xg,away_np_xg,away_ppda,away_deep_completions,home_points,home_expected_points,home_xg,home_np_xg,home_ppda,home_deep_completions,home_team_elo,away_team_elo,result,Xg_diff,elo_diff,Xpoint_diff,ppda_ratio,deep_comp_ratio,home_xg_avg_last3,away_xg_avg_last3,home_xg_trend
2022-09-11 19:00:00,153,154,1.9616,2.44235,2.44235,7.76,12,3,0.8246,1.61505,1.61505,8.608695652173912,5,1799.94433594,1872.33703613,1,-0.8272999999999997,-72.39270018999991,-1.137,1.109367853454389,0.41666663194444736,2.039612,1.852266666666667,-0.02882999999999969
2022-09-12 19:00:00,208,157,2.7751,2.14,2.14,25.142857142857142,6,0,0.13,0.166505,0.166505,12.75,5,1640.9029541,1696.36340332,0,-1.9734950000000002,-55.4604492200001,-2.6451000000000002,0.5071022525584331,0.8333331944444675,1.040435,1.2715403333333333,-0.43696500000000005
2022-09-16 19:00:00,231,261,0.3973,0.523314,0.523314,11.409090909090908,6,0,2.4169,1.98829,1.98829,6.56,3,1639.44470215,1608.24682617,0,1.464976,31.197875979999935,2.0196,0.574980029284619,0.49999991666668053,1.6574316666666666,0.5918506666666666,0.3308849999999999
2022-09-16 19:00:00,231,261,0.3973,0.523314,0.523314,11.409090909090908,6,0,2.4169,1.98829,1.98829,6.56,3,1639.44470215,1608.24682617,0,1.464976,31.197875979999935,2.0196,0.574980029284619,0.49999991666668053,2.0338366666666667,0.427152,0.3764050000000001
2022-09-16 19:00:00,231,261,0.3973,0.523314,0.523314,11.409090909090908,6,0,2.4169,1.98829,1.98829,6.56,3,1639.44470215,1608.24682617,0,1.464976,31.197875979999935,2.0196,0.574980029284619,0.49999991666668053,1.98829,0.523314,-0.045546666666666846
2022-09-17 12:00:00,239,208,0.6126,0.297582,0.297582,9.92,2,3,2.0475000000000003,0.968715,0.968715,14.571428571428571,4,1625.81665039,1626.9083252,1,0.671133,-1.091674810000086,1.4349000000000003,1.4688938611426121,1.9999990000005,1.11072,0.590894,0.007765333333333402
2022-09-17 14:15:00,148,207,0.0008,0.0129931,0.0129931,30.25,1,3,2.9983999999999997,5.17903,5.17903,3.774193548387097,18,1899.55969238,1603.23120117,1,5.1660369,296.3284912099998,2.9976,0.1247667247477809,17.999982000018,3.2790199999999996,0.17532436666666665,1.5169506666666661
2022-09-17 16:30:00,146,152,0.41280000000000006,0.587167,0.587167,7.764705882352941,4,3,2.4015000000000004,1.91153,1.91153,4.909090909090909,4,1695.77026367,1710.4744873,1,1.324363,-14.704223629999888,1.9887000000000004,0.6322313235349466,0.9999997500000625,1.8310200000000003,0.8394543333333336,0.010916666666666686
2022-09-17 19:00:00,147,145,0.3774,0.62187,0.62187,6.88,6,3,2.4606,2.17305,2.17305,13.047619047619047,4,1753.21057129,1628.51281738,1,1.55118,124.69775391000007,2.0831999999999997,1.8964559812737014,0.6666665555555741,1.3937489999999997,0.8332256666666668,0.18915333333333328
2022-09-18 12:00:00,157,142,1.6372,1.43239,1.43239,17.066666666666666,3,0,1.0459,1.1323,1.1323,11.6,7,1698.54187012,1655.61413574,0,-0.30008999999999997,42.927734380000174,-0.5912999999999999,0.6796874601745628,2.3333325555558146,2.41034,0.8992233333333332,-0.07446999999999981
2022-09-18 12:00:00,157,142,1.6372,1.43239,1.43239,17.066666666666666,3,0,1.0459,1.1323,1.1323,11.6,7,1698.54187012,1655.61413574,0,-0.30008999999999997,42.927734380000174,-0.5912999999999999,0.6796874601745628,2.3333325555558146,1.8132333333333335,1.1457583333333332,-0.5971066666666667
2022-09-18 14:15:00,154,138,0.23750000000000002,0.436539,0.436539,6.62962962962963,6,1,2.6351,2.10358,2.10358,11.416666666666666,9,1859.93395996,1780.29174805,2,1.667041,79.64221191000001,2.3976,1.7220667793530555,1.4999997500000417,2.2322033333333335,1.3786196666666664,-0.1989766666666668
2022-09-18 16:30:00,153,223,1.1957,1.34699,1.34699,13.0,5,3,1.4876,1.49153,0.74825,14.083333333333334,2,1804.39489746,1620.52819824,1,0.1445400000000001,183.8666992200001,0.29190000000000005,1.0833332500000066,0.399999920000016,1.204575333333333,0.8580593333333333,-0.8350366666666669
2022-09-18 16:30:00,140,141,0.6383,1.28945,1.28945,14.238095238095237,1,3,2.1559999999999997,2.35791,2.35791,6.181818181818182,11,1762.3104248,1640.86218262,1,1.06846,121.44824217999985,1.5176999999999996,0.4341744906371824,10.999989000011,1.636193333333333,1.1455,0.046846666666666925
2022-09-18 19:00:00,143,150,1.3319,1.09277,1.09277,16.863636363636363,2,0,1.3244000000000002,1.10431,1.10431,13.535714285714286,7,1863.42089844,2005.27905273,0,0.011539999999999884,-141.85815429000013,-0.00749999999999984,0.8026568642244293,3.499998250000875,1.2043066666666666,1.7282700000000002,-0.16029666666666653
2022-09-30 19:00:00,147,208,0.1314,0.42606,0.42606,23.2,3,3,2.7903000000000002,2.55531,1.81204,7.2592592592592595,9,1757.25012207,1620.11120605,1,2.12925,137.13891602000012,2.6589,0.31289909251552445,2.9999990000003334,1.9916566666666664,0.409665,0.5979076666666667
2022-10-01 12:00:00,261,154,1.6605,1.43089,1.43089,13.076923076923077,5,1,1.0551,1.06071,1.06071,8.7,0,1618.46533203,1856.2734375,2,-0.37017999999999995,-237.8081054700001,-0.6054000000000002,0.6652940667716302,0.0,0.5160643333333335,1.668396666666667,0.25545066666666666
